ID,Language,MWE,Previous,Target,Next
1,ESP,ponerse las pilas,Tengo que terminar este trabajo para mañana.,Me voy a poner las pilas para terminarlo a tiempo. ,"Si no me pongo las pilas, no voy a poder hacer nada."
2,ESP,estar en las nubes,¿Por qué no has escuchado lo que te he dicho?,"Perdón, estaba distraído. ¿Podrías repetirlo? ","Debes prestar atención en clase, no puedes estar distraído todo el tiempo."
3,ESP,echar una mano, No puedo mover este mueble por mí mismo.,"Claro, te echo una mano.","Cuando necesites ayuda, no dudes en pedirme que te eche una mano."
4,ESP,dar en el clavo,¿Cómo supiste que me gustaba este restaurante? ," Solo tuve una corazonada, pero parece que di en el clavo. ","No importa lo que piensen los demás, tú siempre das en el clavo con tus decisiones."
5,ESP,tomar el pelo,¿De verdad crees que gané la lotería? ,"No te creo, seguro me estás tomando el pelo.","Deja de tomarle el pelo a tu hermana, no es divertido."
6,ESP,ponerse las pilas,Tenemos un proyecto importante que terminar en dos semanas.,Necesitamos aumentar nuestro esfuerzo para terminar este proyecto a tiempo.,"Sí, es importante que todos trabajemos más duro y nos concentremos en nuestros objetivos."
7,ESP,estar en las nubes,¿Estás prestando atención a la explicación?,"Parece que estás distraído, ¿hay algo que te preocupa?",Necesitamos que estés concentrado para poder entender lo que estamos explicando.
8,ESP,echar una mano,Tengo que mudarme de casa este fin de semana y necesito ayuda para llevar los muebles.,¿Podrías ayudarme a llevar los muebles cuando tenga que mudarme este fin de semana?,"Muchas gracias, realmente agradezco que estés dispuesto a ayudarme."
9,ESP,dar en el clavo,Adivina quién ganó el concurso de dibujo.,Adivina quién acertó en el concurso de dibujo., ¡Increíble! Felicitaciones por haber ganado el primer lugar.
10,ESP,tomar el pelo, No me gusta cuando me hablan con sarcasmo.,No me gusta cuando alguien tira de mi cabello en broma.,"Sí, entiendo lo que quieres decir. A mí tampoco me gusta cuando alguien se burla de mí."
11,ESP,tener mala leche,Siempre se queja de todo.,Tiene mala leche desde que lo dejó su novia.,Nadie lo soporta en el trabajo.
12,ESP,Estar como una cabra,¿Has hablado con el nuevo vecino? Es un poco extraño.,"Sí, lo he visto. Creo que está como una cabra.",Quizás deberíamos tratar de evitarlo.
13,ESP,Meter la pata,Juan nunca llega tarde a sus citas.,"Juan, has metido la pata! Llegaste tarde a nuestra reunión.",Espero que no te vuelva a pasar.
14,ESP,Tener mala leche,¿Por qué siempre me trata tan mal?,"No sé, pero creo que simplemente tiene mala leche.",Lo mejor es tratar de ignorarlo y no dejar que nos afecte.
15,ESP,Estar en el quinto infierno, ¿Sabes dónde está la estación de autobuses?,"Sí, pero está en el quinto infierno. Es mejor que tomes un taxi."," De acuerdo, gracias por el consejo."
16,ESP,Estar como una cabra,En la granja hay muchas cabras.,Esa cabra parece estar como una cabra de verdad. Es muy activa y no para de saltar.,"Sí, esa es la cabra más enérgica de todas. Pero tenemos que asegurarnos de que no salte la cerca."
17,ESP,Meter la pata, Nunca he cocinado este tipo de comida antes.,"¡Oh no, he metido la pata! Agregué demasiado sal a la sopa."," No te preocupes, podemos intentar corregirlo. Quizás podemos añadir más líquido para diluir la sal."
18,ESP,Tener mala leche,No puedo creer que me hayan robado la bicicleta nueva.,Estoy tan enojado que siento que tengo mala leche. ¡No puedo creer que alguien haya hecho esto!,"Sí, es una situación frustrante. Pero recuerda, la bicicleta se puede reemplazar. Lo importante es que estés a salvo."
19,ESP,Estar en el quinto infierno,Este parque está muy lejos del centro de la ciudad.,Siento que estamos en el quinto infierno. No tengo idea de cómo volver a casa desde aquí.,"Tranquilo, podemos tomar el autobús número 35 que nos llevará directo al centro."
20,ESP,estar en las nubes,¿Has visto a María? Debería estar aquí para la reunión.,"No sé dónde está María, pero creo que está en las nubes. La vi caminar en la dirección equivocada hace un rato.","Es posible que haya perdido el rumbo, pero esperemos que pronto se dé cuenta y regrese."
